"Hostname","CheckMK ID","Reachable","Uptime Days","Uptime Hours","Reboot Pending","WSUS Update script","Reboot Script","WSUS Update Task","WSUS Reboot Task","Powershell version"
"TRI04TRMMM1-1.mmsrg.net","DE-M149-TRI04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LND04TRMMM1-1.mmsrg.net","DE-M153-LND04TRMMM1-1","True","3","19","False","Exists","Exists","Ready","Ready","5"
"FFM04TRMMM2-1.mmsrg.net","DE-M147-FFM04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SLS04TRMMM1-1.mmsrg.net","DE-M192-SLS04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KAI04TRMSE1-1.mmsrg.net","DE-S084-KAI04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"POT04TRMMM1-1.mmsrg.net","DE-M088-POT04TRMMM1-1","True","10","19","False","Exists","Exists","Ready","Ready","5"
"NKR04TRMMM1-1.mmsrg.net","DE-M218-NKR04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"EMG04TRMMM1-1.mmsrg.net","DE-M402-EMG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DRE04TRMMM2-1.mmsrg.net","DE-M084-DRE04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HML04TRMMM1-1.mmsrg.net","DE-M100-HML04TRMMM1-1","True","8","19","False","Exists","Exists","Ready","Ready","5"
"WMR04TRMSE1-1.mmsrg.net","DE-S089-WMR04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"REG04TRMSE1-1.mmsrg.net","DE-S067-REG04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KAS04TRMSE1-1.mmsrg.net","DE-S055-KAS04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"FFM04TRMMM1-1.mmsrg.net","DE-M024-FFM04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BRM04TRMSE2-1.mmsrg.net","DE-S096-BRM04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DNW04TRMMM1-1.mmsrg.net","DE-M176-DNW04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HEP04TRMMM1-1.mmsrg.net","DE-M139-HEP04TRMMM1-1","True","4","2","False","Exists","Exists","Ready","Ready","5"
"NTB04TRMMM1-1.mmsrg.net","DE-M238-NTB04TRMMM1-1","True","12","15","False","Exists","Exists","Ready","Ready","5"
"GOE04TRMSE1-1.mmsrg.net","DE-S059-GOE04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"GIF04TRMMM1-1.mmsrg.net","DE-M263-GIF04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"OBH04TRMSE1-1.mmsrg.net","DE-S082-OBH04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HDB04TRMSE1-1.mmsrg.net","DE-S325-HDB04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"AUG04TRMMM1-1.mmsrg.net","DE-M115-AUG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMMM2-1.mmsrg.net","DE-M131-KOL04TRMMM2-1","True","2","19","False","Exists","Exists","Ready","Ready","5"
"KIE04TRMSE1-1.mmsrg.net","DE-S333-KIE04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BER04TRMSE2-1.mmsrg.net","DE-S022-BER04TRMSE2-1","True","2","6","False","Exists","Exists","Ready","Ready","5"
"NUE04TRMMM3-1.mmsrg.net","DE-M167-NUE04TRMMM3-1","True","4","19","False","Exists","Exists","Ready","Ready","5"
"PEI04TRMMM1-1.mmsrg.net","DE-M201-PEI04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HIL04TRMMM1-1.mmsrg.net","DE-M025-HIL04TRMMM1-1","True","8","19","False","Exists","Exists","Ready","Ready","5"
"LBK04TRMMM1-1.mmsrg.net","DE-M066-LBK04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"MST04TRMMM1-1.mmsrg.net","DE-M116-MST04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"MAI04TRMSE1-1.mmsrg.net","DE-S101-MAI04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"CEL04TRMSE1-1.mmsrg.net","DE-S327-CEL04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DST04TRMMM1-1.mmsrg.net","DE-M154-DST04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"EUS04TRMSE1-1.mmsrg.net","DE-S091-EUS04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BER04TRMMM6-1.mmsrg.net","DE-M119-BER04TRMMM6-1","True","11","19","False","Exists","Exists","Ready","Ready","5"
"TRI04TRMSE1-1.mmsrg.net","DE-S104-TRI04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HIL04TRMSE1-1.mmsrg.net","DE-S329-HIL04TRMSE1-1","True","12","15","False","Exists","Exists","Ready","Ready","5"
"HAG04TRMSE1-1.mmsrg.net","DE-S019-HAG04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BIE04TRMMM1-1.mmsrg.net","DE-M042-BIE04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SAA04TRMMM2-1.mmsrg.net","DE-M165-SAA04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BER04TRMMM11-1.mmsrg.net","DE-M129-BER04TRMMM11-1","True","11","20","False","Exists","Exists","Ready","Ready","5"
"AAC04TRMSE1-1.mmsrg.net","DE-S209-AAC04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DUR04TRMSE1-1.mmsrg.net","DE-S204-DUR04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ING04TRMSE1-1.mmsrg.net","","True","5","15","False","Exists","Exists","Ready","Ready","5"
"TRF04TRMSE1-1.mmsrg.net","DE-S295-TRF04TRMSE1-1","True","12","15","False","Exists","Exists","Ready","Ready","5"
"ROS04TRMMM2-1.mmsrg.net","DE-M159-ROS04TRMMM2-1","True","1","20","False","Missing","Missing",,,"5"
"LNH04TRMSE1-1.mmsrg.net","DE-S322-LNH04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HNF04TRMSE1-1.mmsrg.net","DE-S296-HNF04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SGN04TRMSE2-1.mmsrg.net","DE-S211-SGN04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KON04TRMMM1-1.mmsrg.net","DE-M111-KON04TRMMM1-1","True","9","19","False","Exists","Exists","Ready","Ready","5"
"ISE04TRMSE1-1.mmsrg.net","DE-S021-ISE04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"CHE04TRMMM1-1.mmsrg.net","DE-M101-CHE04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ZWC04TRMSE1-1.mmsrg.net","DE-S077-ZWC04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"EGB04TRMMM1-1.mmsrg.net","DE-M082-EGB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMSE2-1.mmsrg.net","DE-S210-KOL04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HAN04TRMMM2-1.mmsrg.net","DE-M137-HAN04TRMMM2-1","True","3","8","False","Exists","Exists","Ready","Ready","5"
"HMM04TRMSE1-1.mmsrg.net","DE-S008-HMM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KAR04TRMMM2-1.mmsrg.net","DE-M203-KAR04TRMMM2-1","True","3","20","False","Exists","Exists","Ready","Ready","5"
"ERL04TRMSE1-1.mmsrg.net","DE-S306-ERL04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ANS04TRMSE1-1.mmsrg.net","DE-S074-ANS04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMMM3-1.mmsrg.net","DE-M197-KOL04TRMMM3-1","True","2","19","False","Exists","Exists","Ready","Ready","5"
"BRM04TRMSE3-1.mmsrg.net","DE-S344-BRM04TRMSE3-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"NUL04TRMMM1-1.mmsrg.net","DE-M030-NUL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMSE4-1.mmsrg.net","DE-S219-KOL04TRMSE4-1","True","12","15","False","Exists","Exists","Ready","Ready","5"
"AUG04TRMMM2-1.mmsrg.net","DE-M148-AUG04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"GRE04TRMMM1-1.mmsrg.net","DE-M155-GRE04TRMMM1-1","True","1","20","False","Missing","Missing",,,"5"
"TNR04TRMMM1-1.mmsrg.net","DE-M206-TNR04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ROS04TRMSE1-1.mmsrg.net","DE-S061-ROS04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"TST04TRMMM1-1.mmsrg.net","DE-M178-TST04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BER04TRMMM12-1.mmsrg.net","DE-M086-BER04TRMMM12-1","True","11","20","False","Exists","Exists","Ready","Ready","5"
"REM04TRMSE1-1.mmsrg.net","DE-S015-REM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BAY04TRMMM1-1.mmsrg.net","DE-M010-BAY04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"REG04TRMMM1-1.mmsrg.net","DE-M011-REG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BDH04TRMMM1-1.mmsrg.net","DE-M018-BDH04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KRE04TRMSE1-1.mmsrg.net","DE-S063-KRE04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BMO04TRMMM1-1.mmsrg.net","DE-M020-BMO04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"MOE04TRMSE3-1.mmsrg.net","DE-S220-MOE04TRMSE3-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"NMK04TRMMM1-1.mmsrg.net","DE-M292-NMK04TRMMM1-1","True","4","20","False","Exists","Exists","Ready","Ready","5"
"GDU04TRMMM1-1.mmsrg.net","DE-M173-GDU04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ASB04TRMMM2-1.mmsrg.net","DE-M014-ASB04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMSE3-1.mmsrg.net","DE-S217-KOL04TRMSE3-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SOL04TRMSE1-1.mmsrg.net","DE-S029-SOL04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HAN04TRMMM1-1.mmsrg.net","DE-M134-HAN04TRMMM1-1","True","8","20","False","Exists","Exists","Ready","Ready","5"
"MEM04TRMMM1-1.mmsrg.net","DE-M177-MEM04TRMMM1-1","True","9","19","False","Exists","Exists","Ready","Ready","5"
"SBH04TRMMM1-1.mmsrg.net","DE-M246-SBH04TRMMM1-1","True","4","20","False","Exists","Exists","Ready","Ready","5"
"WOL04TRMMM1-1.mmsrg.net","DE-M080-WOL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMSE1-1.mmsrg.net","DE-S201-KOL04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HLD04TRMSE1-1.mmsrg.net","DE-S058-HLD04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SEN04TRMSE1-1.mmsrg.net","DE-S317-SEN04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"NDH04TRMMM1-1.mmsrg.net","DE-M125-NDH04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KIE04TRMMM2-1.mmsrg.net","DE-M064-KIE04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LDS04TRMSE1-1.mmsrg.net","DE-S009-LDS04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ERF04TRMMM1-1.mmsrg.net","DE-M076-ERF04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BNN04TRMMM1-1.mmsrg.net","DE-M264-BNN04TRMMM1-1","True","2","20","False","Exists","Exists","Ready","Ready","5"
"FFM04TRMSE2-1.mmsrg.net","DE-S044-FFM04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KAS04TRMMM1-1.mmsrg.net","DE-M092-KAS04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ULM04TRMMM1-1.mmsrg.net","DE-M164-ULM04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BOW04TRMMM1-1.mmsrg.net","DE-M312-BOW04TRMMM1-1","True","2","20","False","Exists","Exists","Ready","Ready","5"
"KOB04TRMMM1-1.mmsrg.net","DE-M038-KOB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"GLS04TRMSE2-1.mmsrg.net","DE-S042-GLS04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HOL04TRMMM1-1.mmsrg.net","DE-M229-HOL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BOM04TRMSE1-1.mmsrg.net","DE-S307-BOM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SNG04TRMMM1-1.mmsrg.net","DE-M156-SNG04TRMMM1-1","True","9","20","False","Exists","Exists","Ready","Ready","5"
"ZLM04TRMMM1-1.mmsrg.net","DE-M145-ZLM04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMMM4-1.mmsrg.net","DE-M232-KOL04TRMMM4-1","True","2","20","False","Exists","Exists","Ready","Ready","5"
"LNG04TRMMM1-1.mmsrg.net","DE-M157-LNG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HAL04TRMSE1-1.mmsrg.net","DE-S103-HAL04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KLE04TRMSE1-1.mmsrg.net","DE-S066-KLE04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SHG04TRMMM1-1.mmsrg.net","DE-M247-SHG04TRMMM1-1","True","8","20","False","Exists","Exists","Ready","Ready","5"
"KUL04TRMMM1-1.mmsrg.net","DE-M250-KUL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HTT04TRMSE1-1.mmsrg.net","DE-S319-HTT04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"OSB04TRMSE1-1.mmsrg.net","DE-S079-OSB04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LBG04TRMMM1-1.mmsrg.net","DE-M163-LBG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DRE04TRMMM3-1.mmsrg.net","DE-M235-DRE04TRMMM3-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"GUM04TRMSE1-1.mmsrg.net","DE-S053-GUM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"NWI04TRMMM1-1.mmsrg.net","DE-M132-NWI04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DOM04TRMSE1-1.mmsrg.net","DE-S004-DOM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"WUP04TRMSE1-1.mmsrg.net","DE-S102-WUP04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LBU04TRMSE1-1.mmsrg.net","DE-S070-LBU04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"RBG04TRMMM1-1.mmsrg.net","DE-M259-RBG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"PDB04TRMSE1-1.mmsrg.net","DE-S337-PDB04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BOY04TRMSE1-1.mmsrg.net","DE-S095-BOY04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"POT04TRMSE1-1.mmsrg.net","DE-S335-POT04TRMSE1-1","True","19","15","False","Exists","Exists","Ready","Ready","5"
"BNT04TRMMM1-1.mmsrg.net","DE-M213-BNT04TRMMM1-1","True","11","20","False","Exists","Exists","Ready","Ready","5"
"ASB04TRMMM1-1.mmsrg.net","DE-M123-ASB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"COB04TRMMM1-1.mmsrg.net","DE-M140-COB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"FRH04TRMMM1-1.mmsrg.net","DE-M162-FRH04TRMMM1-1","True","9","20","False","Exists","Exists","Ready","Ready","5"
"NEU04TRMSE1-1.mmsrg.net","DE-S207-NEU04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BKN04TRMMM1-1.mmsrg.net","DE-M143-BKN04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
